48# Number of electrodes
# x z
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     0
10     0
11     0
12     0
13     0
14     0
15     0
16     0
17     0
18     0
19     0
20     0
21     0
22     0
23     0
24     0
25     0
26     0
27     0
28     0
29     0
30     0
31     0
32     0
33     0
34     0
35     0
36     0
37     0
38     0
39     0
40     0
41     0
42     0
43     0
44     0
45     0
46     0
47     0
909# Number of data
# a b m n rhoa
1	4	2	3	893.760
2	5	3	4	936.362
3	6	4	5	1285.543
4	7	5	6	1283.345
5	8	6	7	1568.108
6	9	7	8	1620.225
7	10	8	9	2337.867
8	11	9	10	3654.088
9	12	10	11	3400.887
10	13	11	12	4453.923
11	14	12	13	4035.620
12	15	13	14	3999.165
13	16	14	15	4542.093
14	17	15	16	4440.211
15	18	16	17	4684.933
16	19	17	18	4216.779
17	20	18	19	3645.806
18	21	19	20	3374.656
19	22	20	21	2489.840
20	23	21	22	2420.294
21	24	22	23	1550.411
22	25	23	24	1753.510
23	26	24	25	1977.608
24	27	25	26	1813.946
25	28	26	27	2707.455
26	29	27	28	2731.440
27	30	28	29	2681.784
28	31	29	30	2812.188
29	32	30	31	2589.707
30	33	31	32	2143.128
31	34	32	33	2128.973
32	35	33	34	1536.947
33	36	34	35	1320.790
34	37	35	36	1111.877
35	38	36	37	1018.165
36	39	37	38	940.352
37	40	38	39	784.755
38	41	39	40	1070.446
39	42	40	41	927.775
40	43	41	42	1019.235
41	44	42	43	1331.434
42	45	43	44	1640.834
43	46	44	45	1784.509
44	47	45	46	3048.313
45	48	46	47	3455.459
1	7	3	5	1013.569
2	8	4	6	1373.462
3	9	5	7	1585.748
4	10	6	8	1540.380
5	11	7	9	1883.422
6	12	8	10	2638.557
7	13	9	11	2821.062
8	14	10	12	2864.561
9	15	11	13	3365.493
10	16	12	14	3498.226
11	17	13	15	3337.691
12	18	14	16	3409.684
13	19	15	17	3775.802
14	20	16	18	3487.707
15	21	17	19	3297.353
16	22	18	20	2981.287
17	23	19	21	2831.509
18	24	20	22	2546.452
19	25	21	23	2204.200
20	26	22	24	2112.705
21	27	23	25	2171.098
22	28	24	26	2039.930
23	29	25	27	2144.818
24	30	26	28	2456.175
25	31	27	29	2221.057
26	32	28	30	2015.188
27	33	29	31	2017.195
28	34	30	32	1935.623
29	35	31	33	1749.838
30	36	32	34	1538.105
31	37	33	35	1292.278
32	38	34	36	1171.215
33	39	35	37	1111.304
34	40	36	38	914.343
35	41	37	39	789.624
36	42	38	40	988.118
37	43	39	41	1102.608
38	44	40	42	982.601
39	45	41	43	1129.334
40	46	42	44	1473.176
41	47	43	45	1717.715
42	48	44	46	2348.979
1	10	4	7	1291.535
2	11	5	8	1248.370
3	12	6	9	1413.552
4	13	7	10	1801.777
5	14	8	11	2282.249
6	15	9	12	2706.943
7	16	10	13	2805.286
8	17	11	14	2430.144
9	18	12	15	2368.569
10	19	13	16	2594.245
11	20	14	17	2693.482
12	21	15	18	2837.393
13	22	16	19	2879.817
14	23	17	20	2713.160
15	24	18	21	2601.117
16	25	19	22	2471.000
17	26	20	23	2247.363
18	27	21	24	2070.719
19	28	22	25	1892.197
20	29	23	26	1965.894
21	30	24	27	2055.921
22	31	25	28	2046.594
23	32	26	29	1973.515
24	33	27	30	1732.315
25	34	28	31	1607.706
26	35	29	32	1456.307
27	36	30	33	1471.252
28	37	31	34	1362.311
29	38	32	35	1253.516
30	39	33	36	1114.751
31	40	34	37	1029.225
32	41	35	38	909.106
33	42	36	39	860.887
34	43	37	40	898.816
35	44	38	41	941.092
36	45	39	42	1033.422
37	46	40	43	1085.805
38	47	41	44	1261.013
39	48	42	45	1415.577
1	13	5	9	1038.372
2	14	6	10	1379.312
3	15	7	11	1716.634
4	16	8	12	1943.763
5	17	9	13	2075.167
6	18	10	14	1996.372
7	19	11	15	1900.460
8	20	12	16	1729.948
9	21	13	17	1831.907
10	22	14	18	1973.829
11	23	15	19	2313.392
12	24	16	20	2376.889
13	25	17	21	2278.751
14	26	18	22	2166.705
15	27	19	23	1862.479
16	28	20	24	1728.244
17	29	21	25	1670.244
18	30	22	26	1529.186
19	31	23	27	1711.699
20	32	24	28	1753.657
21	33	25	29	1631.302
22	34	26	30	1672.881
23	35	27	31	1428.581
24	36	28	32	1302.642
25	37	29	33	1223.069
26	38	30	34	1123.031
27	39	31	35	1109.467
28	40	32	36	1025.139
29	41	33	37	891.993
30	42	34	38	864.795
31	43	35	39	815.209
32	44	36	40	840.454
33	45	37	41	879.925
34	46	38	42	897.292
35	47	39	43	1033.509
36	48	40	44	1093.395
1	16	6	11	1214.657
2	17	7	12	1265.115
3	18	8	13	1423.417
4	19	9	14	1412.677
5	20	10	15	1418.700
6	21	11	16	1467.423
7	22	12	17	1417.306
8	23	13	18	1461.946
9	24	14	19	1532.304
10	25	15	20	1779.584
11	26	16	21	1866.366
12	27	17	22	1641.951
13	28	18	23	1505.779
14	29	19	24	1357.577
15	30	20	25	1282.495
16	31	21	26	1230.379
17	32	22	27	1244.892
18	33	23	28	1304.309
19	34	24	29	1349.198
20	35	25	30	1369.414
21	36	26	31	1410.005
22	37	27	32	1253.115
23	38	28	33	1093.526
24	39	29	34	1032.670
25	40	30	35	935.776
26	41	31	36	855.291
27	42	32	37	846.301
28	43	33	38	756.503
29	44	34	39	714.976
30	45	35	40	760.003
31	46	36	41	783.077
32	47	37	42	792.061
33	48	38	43	866.119
1	19	7	13	938.592
2	20	8	14	1009.872
3	21	9	15	1070.252
4	22	10	16	1082.536
5	23	11	17	1204.197
6	24	12	18	1212.981
7	25	13	19	1276.807
8	26	14	20	1271.291
9	27	15	21	1219.991
10	28	16	22	1193.403
11	29	17	23	1091.004
12	30	18	24	1049.886
13	31	19	25	992.874
14	32	20	26	904.358
15	33	21	27	889.451
16	34	22	28	913.066
17	35	23	29	1017.167
18	36	24	30	1072.547
19	37	25	31	1125.210
20	38	26	32	1192.075
21	39	27	33	1095.418
22	40	28	34	958.318
23	41	29	35	841.959
24	42	30	36	803.532
25	43	31	37	743.196
26	44	32	38	668.982
27	45	33	39	632.954
28	46	34	40	659.571
29	47	35	41	662.070
30	48	36	42	652.089
1	22	8	15	770.751
2	23	9	16	896.777
3	24	10	17	952.389
4	25	11	18	986.858
5	26	12	19	1011.778
6	27	13	20	974.486
7	28	14	21	891.826
8	29	15	22	801.333
9	30	16	23	716.774
10	31	17	24	691.026
11	32	18	25	698.154
12	33	19	26	651.643
13	34	20	27	686.270
14	35	21	28	678.063
15	36	22	29	689.123
16	37	23	30	787.375
17	38	24	31	878.363
18	39	25	32	924.916
19	40	26	33	981.849
20	41	27	34	909.453
21	42	28	35	830.824
22	43	29	36	762.298
23	44	30	37	672.361
24	45	31	38	627.849
25	46	32	39	573.317
26	47	33	40	554.933
27	48	34	41	558.120
1	25	9	17	769.108
2	26	10	18	795.577
3	27	11	19	738.262
4	28	12	20	697.017
5	29	13	21	650.142
6	30	14	22	598.350
7	31	15	23	552.913
8	32	16	24	473.908
9	33	17	25	418.749
10	34	18	26	444.671
11	35	19	27	482.590
12	36	20	28	531.504
13	37	21	29	525.240
14	38	22	30	561.032
15	39	23	31	639.848
16	40	24	32	691.201
17	41	25	33	754.013
18	42	26	34	803.864
