48# Number of electrodes
# x z
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     0
10     0
11     0
12     0
13     0
14     0
15     0
16     0
17     0
18     0
19     0
20     0
21     0
22     0
23     0
24     0
25     0
26     0
27     0
28     0
29     0
30     0
31     0
32     0
33     0
34     0
35     0
36     0
37     0
38     0
39     0
40     0
41     0
42     0
43     0
44     0
45     0
46     0
47     0
909# Number of data
# a b m n rhoa
1	4	2	3	952.005
2	5	3	4	992.031
3	6	4	5	1372.223
4	7	5	6	1365.864
5	8	6	7	1668.603
6	9	7	8	1701.677
7	10	8	9	2481.423
8	11	9	10	3839.175
9	12	10	11	3619.704
10	13	11	12	4668.189
11	14	12	13	4374.554
12	15	13	14	4173.897
13	16	14	15	4871.766
14	17	15	16	4678.458
15	18	16	17	4897.008
16	19	17	18	4444.930
17	20	18	19	3789.535
18	21	19	20	3514.348
19	22	20	21	2593.522
20	23	21	22	2536.392
21	24	22	23	1595.173
22	25	23	24	1824.178
23	26	24	25	2066.457
24	27	25	26	1884.236
25	28	26	27	2860.883
26	29	27	28	2861.899
27	30	28	29	2821.535
28	31	29	30	2941.317
29	32	30	31	2686.064
30	33	31	32	2255.428
31	34	32	33	2222.258
32	35	33	34	1635.594
33	36	34	35	1395.410
34	37	35	36	1175.322
35	38	36	37	1077.896
36	39	37	38	983.457
37	40	38	39	828.833
38	41	39	40	1119.919
39	42	40	41	969.300
40	43	41	42	1071.257
41	44	42	43	1387.466
42	45	43	44	1727.555
43	46	44	45	1856.795
44	47	45	46	3171.417
45	48	46	47	3616.928
1	7	3	5	1053.890
2	8	4	6	1433.309
3	9	5	7	1654.202
4	10	6	8	1599.049
5	11	7	9	1957.258
6	12	8	10	2742.083
7	13	9	11	2907.601
8	14	10	12	2954.006
9	15	11	13	3509.707
10	16	12	14	3621.809
11	17	13	15	3432.669
12	18	14	16	3505.570
13	19	15	17	3905.178
14	20	16	18	3603.932
15	21	17	19	3412.461
16	22	18	20	3051.057
17	23	19	21	2893.223
18	24	20	22	2631.015
19	25	21	23	2269.157
20	26	22	24	2166.195
21	27	23	25	2236.336
22	28	24	26	2098.057
23	29	25	27	2203.668
24	30	26	28	2528.413
25	31	27	29	2301.195
26	32	28	30	2078.424
27	33	29	31	2080.942
28	34	30	32	1990.631
29	35	31	33	1807.939
30	36	32	34	1589.072
31	37	33	35	1339.909
32	38	34	36	1211.837
33	39	35	37	1147.585
34	40	36	38	943.198
35	41	37	39	814.431
36	42	38	40	1020.568
37	43	39	41	1138.174
38	44	40	42	1011.433
39	45	41	43	1163.114
40	46	42	44	1523.556
41	47	43	45	1766.664
42	48	44	46	2424.289
1	10	4	7	1329.162
2	11	5	8	1275.746
3	12	6	9	1442.684
4	13	7	10	1834.839
5	14	8	11	2332.362
6	15	9	12	2765.375
7	16	10	13	2892.360
8	17	11	14	2471.212
9	18	12	15	2412.625
10	19	13	16	2635.184
11	20	14	17	2749.296
12	21	15	18	2898.763
13	22	16	19	2954.504
14	23	17	20	2751.977
15	24	18	21	2641.459
16	25	19	22	2520.198
17	26	20	23	2295.015
18	27	21	24	2116.566
19	28	22	25	1928.059
20	29	23	26	1997.701
21	30	24	27	2091.885
22	31	25	28	2087.482
23	32	26	29	2022.226
24	33	27	30	1774.544
25	34	28	31	1638.797
26	35	29	32	1473.635
27	36	30	33	1493.028
28	37	31	34	1389.853
29	38	32	35	1286.100
30	39	33	36	1142.904
31	40	34	37	1049.650
32	41	35	38	925.450
33	42	36	39	877.278
34	43	37	40	916.976
35	44	38	41	960.925
36	45	39	42	1054.302
37	46	40	43	1108.654
38	47	41	44	1288.084
39	48	42	45	1448.422
1	13	5	9	1048.160
2	14	6	10	1378.876
3	15	7	11	1740.981
4	16	8	12	1960.953
5	17	9	13	2119.305
6	18	10	14	2012.177
7	19	11	15	1925.380
8	20	12	16	1748.656
9	21	13	17	1855.005
10	22	14	18	1986.192
11	23	15	19	2350.765
12	24	16	20	2402.294
13	25	17	21	2315.735
14	26	18	22	2178.518
15	27	19	23	1879.979
16	28	20	24	1745.257
17	29	21	25	1684.120
18	30	22	26	1537.200
19	31	23	27	1735.341
20	32	24	28	1777.222
21	33	25	29	1654.905
22	34	26	30	1702.510
23	35	27	31	1446.749
24	36	28	32	1316.307
25	37	29	33	1231.217
26	38	30	34	1131.271
27	39	31	35	1126.140
28	40	32	36	1039.191
29	41	33	37	907.643
30	42	34	38	876.571
31	43	35	39	823.735
32	44	36	40	848.451
33	45	37	41	888.901
34	46	38	42	909.604
35	47	39	43	1045.891
36	48	40	44	1113.235
1	16	6	11	1219.926
2	17	7	12	1225.794
3	18	8	13	1434.777
4	19	9	14	1413.654
5	20	10	15	1434.534
6	21	11	16	1498.404
7	22	12	17	1427.938
8	23	13	18	1473.874
9	24	14	19	1541.398
10	25	15	20	1788.422
11	26	16	21	1900.340
12	27	17	22	1610.417
13	28	18	23	1513.624
14	29	19	24	1345.207
15	30	20	25	1281.498
16	31	21	26	1234.358
17	32	22	27	1246.515
18	33	23	28	1313.960
19	34	24	29	1361.457
20	35	25	30	1378.395
21	36	26	31	1421.750
22	37	27	32	1265.242
